TIME,V(GND),V(Y),V(NET1),V(VDD)
0.00000000e+00,7.21363284e+00,9.01363399e+00,7.21363284e+00,9.01363284e+00
5.00000000e-12,7.21363290e+00,9.01363361e+00,7.21363290e+00,9.01363290e+00
1.50000000e-11,7.21379408e+00,9.01379435e+00,7.21379408e+00,9.01379408e+00
3.50000000e-11,7.21417427e+00,9.01417423e+00,7.21417427e+00,9.01417427e+00
7.50000000e-11,7.21506303e+00,9.01506302e+00,7.21506303e+00,9.01506303e+00
1.55000000e-10,7.21711581e+00,9.01711578e+00,7.21711581e+00,9.01711581e+00
2.55000000e-10,7.21988301e+00,9.01988299e+00,7.21988301e+00,9.01988301e+00
3.55000000e-10,7.22275313e+00,9.02275311e+00,7.22275313e+00,9.02275313e+00
4.55000000e-10,7.22567904e+00,9.02567902e+00,7.22567904e+00,9.02567904e+00
5.55000000e-10,7.22863576e+00,9.02863574e+00,7.22863576e+00,9.02863576e+00
6.55000000e-10,7.23161788e+00,9.03161786e+00,7.23161788e+00,9.03161788e+00
7.55000000e-10,7.23461411e+00,9.03461409e+00,7.23461411e+00,9.03461411e+00
8.55000000e-10,7.23761296e+00,9.03761294e+00,7.23761296e+00,9.03761296e+00
9.55000000e-10,7.24060950e+00,9.04060948e+00,7.24060950e+00,9.04060950e+00
1.00000000e-09,7.24191602e+00,9.04191600e+00,7.24191602e+00,9.04191602e+00
1.01000000e-09,7.25270327e+00,9.05933034e+00,7.27070327e+00,9.05270327e+00
1.01819290e-09,7.25603948e+00,9.06544592e+00,7.28878669e+00,9.05603948e+00
1.02638579e-09,7.25637239e+00,9.06768400e+00,7.30386682e+00,9.05637239e+00
1.04277159e-09,7.25174020e+00,9.06420977e+00,7.32872905e+00,9.05174020e+00
1.07554317e-09,7.23186410e+00,9.04484427e+00,7.36784181e+00,9.03186410e+00
1.14108635e-09,7.16821534e+00,8.98247923e+00,7.42217077e+00,8.96821534e+00
1.27217269e-09,6.99336214e+00,8.80946128e+00,7.48327299e+00,8.79336214e+00
1.33771587e-09,6.91759636e+00,8.70814635e+00,7.52548492e+00,8.71759636e+00
1.35410166e-09,6.90604057e+00,8.68171495e+00,7.54342356e+00,8.70604057e+00
1.37048745e-09,6.90313536e+00,8.65666231e+00,7.57001278e+00,8.70313536e+00
1.37664121e-09,6.90391475e+00,8.64449267e+00,7.58186893e+00,8.70391475e+00
1.38894873e-09,6.90527554e+00,8.61494838e+00,7.60538325e+00,8.70527554e+00
1.40125625e-09,6.90866308e+00,8.57663006e+00,7.63092432e+00,8.70866308e+00
1.40475244e-09,6.91013919e+00,8.56358627e+00,7.63869358e+00,8.71013919e+00
1.41174482e-09,6.91263837e+00,8.53406123e+00,7.65377906e+00,8.71263837e+00
1.41677859e-09,6.91474367e+00,8.50863721e+00,7.66494512e+00,8.71474367e+00
1.42181235e-09,6.90969733e+00,8.47282297e+00,7.66895956e+00,8.70969733e+00
1.42684611e-09,6.90173561e+00,8.42864464e+00,7.67005862e+00,8.70173561e+00
1.43691364e-09,6.88919962e+00,8.31930281e+00,7.67564417e+00,8.68919962e+00
1.44698116e-09,6.88640269e+00,8.18219077e+00,7.69096878e+00,8.68640269e+00
1.45704869e-09,6.88895992e+00,8.02245671e+00,7.71164757e+00,8.68895992e+00
1.46711622e-09,6.89512898e+00,7.83923006e+00,7.73593817e+00,8.69512898e+00
1.47718374e-09,6.90630584e+00,7.63768365e+00,7.76523658e+00,8.70630584e+00
1.48725127e-09,6.92012302e+00,7.42625734e+00,7.79717530e+00,8.72012302e+00
1.49625338e-09,6.92867799e+00,7.24485874e+00,7.82193407e+00,8.72867799e+00
1.50525549e-09,6.92817467e+00,7.10105785e+00,7.83763455e+00,8.72817467e+00
1.51092061e-09,6.90827749e+00,7.03911293e+00,7.82793459e+00,8.70827749e+00
1.51557261e-09,6.89342151e+00,7.00207888e+00,7.82145221e+00,8.69342151e+00
1.52022461e-09,6.87958980e+00,6.97171010e+00,7.81599410e+00,8.67958980e+00
1.52952862e-09,6.85165019e+00,6.92650166e+00,7.80480170e+00,8.65165019e+00
1.54813662e-09,6.79720092e+00,6.85447857e+00,7.78384684e+00,8.59720092e+00
1.56674462e-09,6.74450837e+00,6.78971792e+00,7.76464870e+00,8.54450837e+00
1.60396063e-09,6.64432926e+00,6.67357470e+00,7.73145840e+00,8.44432926e+00
1.67839265e-09,6.45472570e+00,6.46769735e+00,7.67583247e+00,8.25472570e+00
1.82725668e-09,6.10177276e+00,6.10391590e+00,7.59083478e+00,7.90177276e+00
1.97612071e-09,5.76244185e+00,5.76322497e+00,7.51945914e+00,7.56244185e+00
2.00000000e-09,5.70754271e+00,5.70843192e+00,7.50754271e+00,7.50754271e+00
2.02387929e-09,5.70885774e+00,5.70889722e+00,7.50885774e+00,7.50885774e+00
2.07163786e-09,5.71000310e+00,5.71000602e+00,7.51000310e+00,7.51000310e+00
2.11939643e-09,5.71058060e+00,5.71058196e+00,7.51058060e+00,7.51058060e+00
2.21491358e-09,5.71062406e+00,5.71062687e+00,7.51062406e+00,7.51062406e+00
2.40594787e-09,5.70849149e+00,5.70849290e+00,7.50849149e+00,7.50849149e+00
2.78801646e-09,5.69984239e+00,5.69984518e+00,7.49984239e+00,7.49984239e+00
3.55215363e-09,5.67376822e+00,5.67376964e+00,7.47376822e+00,7.47376822e+00
4.55215363e-09,5.63212705e+00,5.63212984e+00,7.43212705e+00,7.43212705e+00
5.55215363e-09,5.58673159e+00,5.58673302e+00,7.38673159e+00,7.38673159e+00
6.00000000e-09,5.56602151e+00,5.56602428e+00,7.36602151e+00,7.36602151e+00
6.04035664e-09,5.56511163e+00,5.56428005e+00,7.29246968e+00,7.36511163e+00
6.07401220e-09,5.56588572e+00,5.56502469e+00,7.23266376e+00,7.36588572e+00
6.10766776e-09,5.56757406e+00,5.56672512e+00,7.17377210e+00,7.36757406e+00
6.17497887e-09,5.57310271e+00,5.57276329e+00,7.05814074e+00,7.37310271e+00
6.30960111e-09,5.60794252e+00,5.61390766e+00,6.85066052e+00,7.40794252e+00
6.43076112e-09,5.64400826e+00,5.67599462e+00,6.66863824e+00,7.44400826e+00
6.44301786e-09,5.64846266e+00,5.68589379e+00,6.65103051e+00,7.44846266e+00
6.46753134e-09,5.65445128e+00,5.70633444e+00,6.61289487e+00,7.45445128e+00
6.49204482e-09,5.65724671e+00,5.73187283e+00,6.57156604e+00,7.45724671e+00
6.51965003e-09,5.64477734e+00,5.76916953e+00,6.50940728e+00,7.44477734e+00
6.53113110e-09,5.62428285e+00,5.78866328e+00,6.46824688e+00,7.42428285e+00
6.54146406e-09,5.59592431e+00,5.82101757e+00,6.42128900e+00,7.39592431e+00
6.55076372e-09,5.56314777e+00,5.87443508e+00,6.37177307e+00,7.36314777e+00
6.55607077e-09,5.54466080e+00,5.91604904e+00,6.34373341e+00,7.34466080e+00
6.56137783e-09,5.52623112e+00,5.96329352e+00,6.31575103e+00,7.32623112e+00
6.57199194e-09,5.48362063e+00,6.07994297e+00,6.25403514e+00,7.28362063e+00
6.58260604e-09,5.41191633e+00,6.19911087e+00,6.16322545e+00,7.21191633e+00
6.59215874e-09,5.36616098e+00,6.34432938e+00,6.10027525e+00,7.16616098e+00
6.60075617e-09,5.37114871e+00,6.52604262e+00,6.08978761e+00,7.17114871e+00
6.60816229e-09,5.40244457e+00,6.69894838e+00,6.10775245e+00,7.20244457e+00
6.61230100e-09,5.41375671e+00,6.77600383e+00,6.11161491e+00,7.21375671e+00
6.61643972e-09,5.42864139e+00,6.84511736e+00,6.11904990e+00,7.22864139e+00
6.62057843e-09,5.43988347e+00,6.90146792e+00,6.12284230e+00,7.23988347e+00
6.62471715e-09,5.45146156e+00,6.94962489e+00,6.12697069e+00,7.25146156e+00
6.62960336e-09,5.46627733e+00,6.99925609e+00,6.13299128e+00,7.26627733e+00
6.63448957e-09,5.48216145e+00,7.04574215e+00,6.14008022e+00,7.28216145e+00
6.64426200e-09,5.51620370e+00,7.12982786e+00,6.15653210e+00,7.31620370e+00
6.66380685e-09,5.59055467e+00,7.27491930e+00,6.19570235e+00,7.39055467e+00
6.68335170e-09,5.66878461e+00,7.39696008e+00,6.23875156e+00,7.46878461e+00
6.69071768e-09,5.70058379e+00,7.43919816e+00,6.25729197e+00,7.50058379e+00
6.69808366e-09,5.73214324e+00,7.48011366e+00,6.27559265e+00,7.53214324e+00
6.71281563e-09,5.79689112e+00,7.55835869e+00,6.31382299e+00,7.59689112e+00
6.74227956e-09,5.93014776e+00,7.70550647e+00,6.39404455e+00,7.73014776e+00
6.80120742e-09,6.20704605e+00,7.99009079e+00,6.56487269e+00,8.00704605e+00
6.83176277e-09,6.35146146e+00,8.13544714e+00,6.65428848e+00,8.15146146e+00
6.89287345e-09,6.67449236e+00,8.46032232e+00,6.86732016e+00,8.47449236e+00
6.94378453e-09,6.95598074e+00,8.74286216e+00,7.05716858e+00,8.75598074e+00
7.00000000e-09,7.27437562e+00,9.06209118e+00,7.27437562e+00,9.07437562e+00
7.01018222e-09,7.27111278e+00,9.06477287e+00,7.27111278e+00,9.07111278e+00
7.02036443e-09,7.26677837e+00,9.06350212e+00,7.26677837e+00,9.06677837e+00
7.03054665e-09,7.26158122e+00,9.06039150e+00,7.26158122e+00,9.06158122e+00
7.05091109e-09,7.24623009e+00,9.04618446e+00,7.24623009e+00,9.04623009e+00
7.07127552e-09,7.22810028e+00,9.02809876e+00,7.22810028e+00,9.02810028e+00
7.11200439e-09,7.18584861e+00,8.98584910e+00,7.18584861e+00,8.98584861e+00
7.19346213e-09,7.08937937e+00,8.88937903e+00,7.08937937e+00,8.88937937e+00
7.35637760e-09,6.87252046e+00,8.67252069e+00,6.87252046e+00,8.67252046e+00
7.68220855e-09,6.39096845e+00,8.19096821e+00,6.39096845e+00,8.19096845e+00
8.33387045e-09,5.33219376e+00,7.13219396e+00,5.33219376e+00,7.13219376e+00
9.33387045e-09,3.59482107e+00,5.39482084e+00,3.59482107e+00,5.39482107e+00
1.03338704e-08,1.80112564e+00,3.60112581e+00,1.80112564e+00,3.60112564e+00
1.10000000e-08,5.93805685e-01,2.39380548e+00,5.93805685e-01,2.39380569e+00
1.10062500e-08,5.89245294e-01,2.39444200e+00,6.00495294e-01,2.38924529e+00
1.10098531e-08,5.86931919e-01,2.39422523e+00,6.04667422e-01,2.38693192e+00
1.10170592e-08,5.81820944e-01,2.39206961e+00,6.12527453e-01,2.38182094e+00
1.10242653e-08,5.76869499e-01,2.38834941e+00,6.20547013e-01,2.37686950e+00
1.10386775e-08,5.65989268e-01,2.37835956e+00,6.35608793e-01,2.36598927e+00
1.10530897e-08,5.54430731e-01,2.36705686e+00,6.49992268e-01,2.35443073e+00
1.10819142e-08,5.29693297e-01,2.34277556e+00,6.77138856e-01,2.32969330e+00
1.11395631e-08,4.76758606e-01,2.29099194e+00,7.27972210e-01,2.27675861e+00
1.12548609e-08,3.64209633e-01,2.18092250e+00,8.22959327e-01,2.16420963e+00
1.12692732e-08,3.50383065e-01,2.16689034e+00,8.35074770e-01,2.15038307e+00
1.12980976e-08,3.22405241e-01,2.13634088e+00,8.58980969e-01,2.12240524e+00
1.13269221e-08,2.90917217e-01,2.09455295e+00,8.79376967e-01,2.09091722e+00
1.13557465e-08,2.59902823e-01,2.03881211e+00,9.00246596e-01,2.05990282e+00
1.13597803e-08,2.57233739e-01,2.03051380e+00,9.04838231e-01,2.05723374e+00
1.13638140e-08,2.54848738e-01,2.02212135e+00,9.09713950e-01,2.05484874e+00
1.13718815e-08,2.51456176e-01,2.00440594e+00,9.20842827e-01,2.05145618e+00
1.13799489e-08,2.48963902e-01,1.98422981e+00,9.32871992e-01,2.04896390e+00
1.13880164e-08,2.47229666e-01,1.96101624e+00,9.45659196e-01,2.04722967e+00
1.13960839e-08,2.49751956e-01,1.93771469e+00,9.62702925e-01,2.04975196e+00
1.14041513e-08,2.60390411e-01,1.91743347e+00,9.87862819e-01,2.06039041e+00
1.14122188e-08,2.74652034e-01,1.89451475e+00,1.01664588e+00,2.07465203e+00
1.14202863e-08,2.92321824e-01,1.86658551e+00,1.04883711e+00,2.09232182e+00
1.14283537e-08,3.11831821e-01,1.82770413e+00,1.08286855e+00,2.11183182e+00
1.14364212e-08,3.31634029e-01,1.76826461e+00,1.11719219e+00,2.13163403e+00
1.14436819e-08,3.56835827e-01,1.70093471e+00,1.15546329e+00,2.15683583e+00
1.14509426e-08,3.86473645e-01,1.62260756e+00,1.19817040e+00,2.18647365e+00
1.14582034e-08,4.18968882e-01,1.53308726e+00,1.24373493e+00,2.21896888e+00
1.14654641e-08,4.59496717e-01,1.43719406e+00,1.29733206e+00,2.25949672e+00
1.14727248e-08,5.05061797e-01,1.33338670e+00,1.35596644e+00,2.30506180e+00
1.14799855e-08,5.50607480e-01,1.21993634e+00,1.41458141e+00,2.35060748e+00
1.14872462e-08,5.96086967e-01,1.10194930e+00,1.47313020e+00,2.39608697e+00
1.14877233e-08,5.98669345e-01,1.09377337e+00,1.47657127e+00,2.39866935e+00
1.14886774e-08,6.03594578e-01,1.07723610e+00,1.48321389e+00,2.40359458e+00
1.14905856e-08,6.13986639e-01,1.04505694e+00,1.49704073e+00,2.41398664e+00
1.14924938e-08,6.24899666e-01,1.01409925e+00,1.51138853e+00,2.42489967e+00
1.14963102e-08,6.48258143e-01,9.57621773e-01,1.54161656e+00,2.44825814e+00
1.15001267e-08,6.58385310e-01,8.97246102e-01,1.55861329e+00,2.45838531e+00
1.15033716e-08,6.54217085e-01,8.44800032e-01,1.56028594e+00,2.45421709e+00
1.15066165e-08,6.44690455e-01,7.99226821e-01,1.55660019e+00,2.44469046e+00
1.15098615e-08,6.28410110e-01,7.57584053e-01,1.54616073e+00,2.42841011e+00
1.15131064e-08,6.19132694e-01,7.30945916e-01,1.54272419e+00,2.41913269e+00
1.15159986e-08,6.12613735e-01,7.13595182e-01,1.54141123e+00,2.41261374e+00
1.15217831e-08,6.04014582e-01,6.90638184e-01,1.54322408e+00,2.40401458e+00
1.15275675e-08,5.99001563e-01,6.76579652e-01,1.54862307e+00,2.39900156e+00
1.15333519e-08,5.97489519e-01,6.68200788e-01,1.55752303e+00,2.39748952e+00
1.15391364e-08,5.97626580e-01,6.62575245e-01,1.56807209e+00,2.39762658e+00
1.15507053e-08,6.01223292e-01,6.56636784e-01,1.59249281e+00,2.40122329e+00
1.15738431e-08,6.13069075e-01,6.54511328e-01,1.64598660e+00,2.41306907e+00
1.15969809e-08,6.23647456e-01,6.55340663e-01,1.69821299e+00,2.42364746e+00
1.16201186e-08,6.33956013e-01,6.58435602e-01,1.75016956e+00,2.43395601e+00
1.16663942e-08,6.54148961e-01,6.68933436e-01,1.85365853e+00,2.45414896e+00
1.17589453e-08,6.93571573e-01,6.98673406e-01,2.05967318e+00,2.49357157e+00
1.19440476e-08,7.70703473e-01,7.71450629e-01,2.46998916e+00,2.57070347e+00
